INT_ID^CITY_ID^PATH_INDEX^ROUTE_INDEX^ROUTE_IN_INDEX^ROUTE_RATE^RELATED_TRAPH_ID^ROUTE_DESCRIPTION^RELATED_PATH_ID^WORK_STATE^PATH_TYPE^A_SITE^Z_SITE^A_SITE_NAME^Z_SITE_NAME^A_TRANSNE_ID^A_TRANSNE^A_TRANSPORT_ID^A_TRANSVIRTUALPORT_ID^RELATED_A_TRANSCTP^Z_TRANSNE_ID^Z_TRANSNE^Z_TRANSPORT_ID^Z_TRANSVIRTUALPORT_ID^RELATED_Z_TRANSCTP^AVLANID^ZVLANID^MSTP_EXTS^A_MAC^A_MP^Z_MAC^Z_MP^ZH_LABEL^REMARK^STATEFLAG^TIME_STAMP^CREATOR^CREAT_TIME^MODIFY_TIME^MODIFIER
30^^1^1^0^^68783008^昆明高新(269-昆明高新4扩展1-15-PQ1-09)()大理榆宾路10号^76266201^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936477^269-昆明高新4扩展1^55863684^^^53936773^237-大理扩展1^55869573^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:47:20^2011-02-24 15:47:20^
31^^1^1^0^^68783033^昆明高新(233-昆明高新3扩展2-3-PQ1-02)(236-大理-2-JQ16-03/155M2)大理榆宾路10号^76266508^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936654^233-昆明高新3扩展2^55875539^^^53936698^236-大理^55872701^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-03-02 16:56:58^2011-03-02 16:56:58^
32^^1^1^0^^68783032^昆明高新(269-昆明高新4扩展1-15-PQ1-10)()大理榆宾路10号^76266202^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936477^269-昆明高新4扩展1^55880957^^^53936773^237-大理扩展1^55873059^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:47:22^2011-02-24 15:47:22^
33^^1^1^0^^68783035^昆明高新(269-昆明高新4扩展1-15-PQ1-26)()大理榆宾路10号^76264966^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936477^269-昆明高新4扩展1^55880977^^^53936773^237-大理扩展1^55872807^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:47:49^2011-02-24 15:47:49^
35^^1^1^0^^68783048^昆明高新(269-昆明高新4扩展1-15-PQ1-28)()大理榆宾路10号^76264969^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936477^269-昆明高新4扩展1^55880975^^^53936773^237-大理扩展1^55869606^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:47:53^2011-02-24 15:47:53^
37^^1^1^0^^68783050^昆明高新(269-昆明高新4扩展1-16-PQ1-46)()大理榆宾路10号^76266283^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936477^269-昆明高新4扩展1^55880931^^^53936773^237-大理扩展1^55869808^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:50:26^2011-02-24 15:50:26^
38^^1^1^0^^68783051^昆明高新(269-昆明高新4扩展1-16-PQ1-45)()大理榆宾路10号^76266282^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936477^269-昆明高新4扩展1^55880930^^^53936773^237-大理扩展1^55869608^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:50:24^2011-02-24 15:50:24^
40^^1^1^0^^68783036^昆明高新(269-昆明高新4扩展1-16-PQ1-43)()大理榆宾路10号^76266281^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936477^269-昆明高新4扩展1^55881133^^^53936773^237-大理扩展1^55869806^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:50:22^2011-02-24 15:50:22^
41^^1^1^0^^68783037^昆明枢纽楼(265-昆明枢纽楼3扩展2-13-PQ1-63)(236-大理-2-JQ16-03/155M4)大理榆宾路10号^76266511^1^1^1862^1836^五华区昆明枢纽楼^大理市榆宾路10号^53936743^265-昆明枢纽楼3扩展2^55880181^^^53936698^236-大理^55872701^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-03-02 16:57:13^2011-03-02 16:57:13^
42^^1^1^0^^68783038^昆明枢纽楼(271-昆明枢纽楼4扩展1-13-PQ1-03)《YN-T2000-3-S-270-昆明枢纽楼4链-1/155M5/2M3》昆明枢纽楼《YN-T2000-3-S-西北环-第2波/B155M4/2M3》大理榆宾路10号《YN-T2000-3-S-236-大理链-1/155M3/2M3》(237-大理扩展1-4-PQ1-03)大理榆宾路10号^76272040^1^1^1862^1836^五华区昆明枢纽楼^大理市榆宾路10号^53936522^271-昆明枢纽楼4扩展1^55892595^^^53936773^237-大理扩展1^55872882^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-04-01 12:44:42^2011-04-01 12:44:42^
43^^1^1^0^^68783039^昆明枢纽楼(271-昆明枢纽楼4扩展1-13-PQ1-10)(236-大理-2-JQ16-04/155M3)大理榆宾路10号^76266512^1^1^1862^1836^五华区昆明枢纽楼^大理市榆宾路10号^53936522^271-昆明枢纽楼4扩展1^55891015^^^53936698^236-大理^55872699^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-03-02 16:57:17^2011-03-02 16:57:17^
44^^1^1^0^^68783040^昆明枢纽楼(271-昆明枢纽楼4扩展1-13-PQ1-40)《YN-T2000-3-S-270-昆明枢纽楼4链-1/155M5/2M40》昆明枢纽楼《YN-T2000-3-S-西北环-第2波/B155M4/2M40》大理榆宾路10号《YN-T2000-3-S-236-大理链-1/155M3/2M40》(237-大理扩展1-4-PQ1-40)大理榆宾路10号^76269639^1^1^1862^1836^五华区昆明枢纽楼^大理市榆宾路10号^53936522^271-昆明枢纽楼4扩展1^55889473^^^53936773^237-大理扩展1^55869809^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-04-01 12:45:18^2011-04-01 12:45:18^
45^^1^1^0^^68783041^昆明枢纽楼(271-昆明枢纽楼4扩展1-13-PQ1-41)《YN-T2000-3-S-270-昆明枢纽楼4链-1/155M5/2M41》昆明枢纽楼《YN-T2000-3-S-西北环-第2波/B155M4/2M41》大理榆宾路10号《YN-T2000-3-S-236-大理链-1/155M3/2M41》(237-大理扩展1-4-PQ1-41)大理榆宾路10号^76269640^1^1^1862^1836^五华区昆明枢纽楼^大理市榆宾路10号^53936522^271-昆明枢纽楼4扩展1^55889683^^^53936773^237-大理扩展1^55870008^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-04-01 12:45:25^2011-04-01 12:45:25^
